"gamedate","gametype","team1","score1","score2","team2"
"2000-04-08","東京六大学","早稲田",3,4,"明治"
"2000-04-08","東京六大学","東大",0,2,"立教"
"2000-04-09","東京六大学","明治",2,5,"早稲田"
"2000-04-09","東京六大学","立教",10,0,"東大"
"2000-04-10","東京六大学","早稲田",2,1,"明治"
"2000-04-16","東京六大学","東大",0,6,"慶應"
"2000-04-16","東京六大学","法政",8,9,"明治"
"2000-04-17","東京六大学","慶應",1,0,"東大"
"2000-04-17","東京六大学","明治",7,5,"法政"
"2000-04-22","東京六大学","慶應",0,1,"立教"
"2000-04-22","東京六大学","法政",9,1,"早稲田"
"2000-04-23","東京六大学","早稲田",8,6,"法政"
"2000-04-23","東京六大学","立教",2,1,"慶應"
"2000-04-24","東京六大学","法政",6,1,"早稲田"
"2000-04-29","東京六大学","東大",2,5,"早稲田"
"2000-04-29","東京六大学","立教",5,2,"明治"
"2000-04-30","東京六大学","早稲田",5,2,"東大"
"2000-04-30","東京六大学","明治",4,4,"立教"
"2000-05-01","東京六大学","立教",4,5,"明治"
"2000-05-02","東京六大学","明治",4,3,"立教"
"2000-05-06","東京六大学","慶應",3,6,"明治"
"2000-05-06","東京六大学","法政",12,0,"東大"
"2000-05-07","東京六大学","明治",2,5,"慶應"
"2000-05-07","東京六大学","東大",0,12,"法政"
"2000-05-08","東京六大学","慶應",1,2,"明治"
"2000-05-13","東京六大学","慶應",7,5,"法政"
"2000-05-13","東京六大学","立教",3,2,"早稲田"
"2000-05-14","東京六大学","早稲田",6,2,"立教"
"2000-05-14","東京六大学","法政",7,0,"慶應"
"2000-05-15","東京六大学","慶應",1,4,"法政"
"2000-05-15","東京六大学","立教",1,3,"早稲田"
"2000-05-21","東京六大学","明治",14,1,"東大"
"2000-05-21","東京六大学","法政",16,2,"立教"
"2000-05-22","東京六大学","東大",2,1,"明治"
"2000-05-22","東京六大学","立教",2,5,"法政"
"2000-05-23","東京六大学","明治",7,2,"東大"
"2000-05-27","東京六大学","慶應",5,0,"早稲田"
"2000-05-28","東京六大学","慶應",1,0,"東大"
"2000-05-28","東京六大学","慶應",0,1,"立教"
"2000-05-28","東京六大学","慶應",3,6,"明治"
"2000-05-28","東京六大学","慶應",1,2,"明治"
"2000-05-28","東京六大学","慶應",7,5,"法政"
"2000-05-28","東京六大学","慶應",1,4,"法政"
"2000-05-28","東京六大学","慶應",5,0,"早稲田"
"2000-05-28","東京六大学","早稲田",3,4,"明治"
"2000-05-28","東京六大学","早稲田",2,1,"明治"
"2000-05-28","東京六大学","早稲田",8,6,"法政"
"2000-05-28","東京六大学","早稲田",5,2,"東大"
"2000-05-28","東京六大学","早稲田",6,2,"立教"
"2000-05-28","東京六大学","早稲田",2,5,"慶應"
"2000-05-28","東京六大学","明治",2,5,"早稲田"
"2000-05-28","東京六大学","明治",7,5,"法政"
"2000-05-28","東京六大学","明治",4,4,"立教"
"2000-05-28","東京六大学","明治",4,3,"立教"
"2000-05-28","東京六大学","明治",2,5,"慶應"
"2000-05-28","東京六大学","明治",14,1,"東大"
"2000-05-28","東京六大学","明治",7,2,"東大"
"2000-05-28","東京六大学","東大",0,2,"立教"
"2000-05-28","東京六大学","東大",0,6,"慶應"
"2000-05-28","東京六大学","東大",2,5,"早稲田"
"2000-05-28","東京六大学","東大",0,12,"法政"
"2000-05-28","東京六大学","東大",2,1,"明治"
"2000-05-28","東京六大学","法政",8,9,"明治"
"2000-05-28","東京六大学","法政",9,1,"早稲田"
"2000-05-28","東京六大学","法政",6,1,"早稲田"
"2000-05-28","東京六大学","法政",12,0,"東大"
"2000-05-28","東京六大学","法政",7,0,"慶應"
"2000-05-28","東京六大学","法政",16,2,"立教"
"2000-05-28","東京六大学","立教",10,0,"東大"
"2000-05-28","東京六大学","立教",2,1,"慶應"
"2000-05-28","東京六大学","立教",5,2,"明治"
"2000-05-28","東京六大学","立教",4,5,"明治"
"2000-05-28","東京六大学","立教",3,2,"早稲田"
"2000-05-28","東京六大学","立教",1,3,"早稲田"
"2000-05-28","東京六大学","立教",2,5,"法政"
"2000-09-09","東京六大学","早稲田",0,6,"立教"
"2000-09-09","東京六大学","東大",0,3,"法政"
"2000-09-10","東京六大学","法政",15,0,"東大"
"2000-09-10","東京六大学","立教",3,1,"早稲田"
"2000-09-16","東京六大学","明治",3,1,"立教"
"2000-09-16","東京六大学","東大",3,5,"慶應"
"2000-09-18","東京六大学","慶應",5,0,"東大"
"2000-09-18","東京六大学","立教",8,3,"明治"
"2000-09-19","東京六大学","明治",7,0,"立教"
"2000-09-23","東京六大学","慶應",1,2,"法政"
"2000-09-23","東京六大学","早稲田",9,4,"明治"
"2000-09-24","東京六大学","明治",8,5,"早稲田"
"2000-09-24","東京六大学","法政",2,6,"慶應"
"2000-09-25","東京六大学","慶應",7,5,"法政"
"2000-09-25","東京六大学","早稲田",6,2,"明治"
"2000-09-30","東京六大学","早稲田",17,1,"東大"
"2000-09-30","東京六大学","立教",0,1,"法政"
"2000-10-01","東京六大学","東大",1,2,"早稲田"
"2000-10-01","東京六大学","法政",0,2,"立教"
"2000-10-02","東京六大学","立教",2,6,"法政"
"2000-10-07","東京六大学","慶應",6,0,"立教"
"2000-10-07","東京六大学","東大",0,5,"明治"
"2000-10-08","東京六大学","明治",6,3,"東大"
"2000-10-08","東京六大学","立教",4,2,"慶應"
"2000-10-10","東京六大学","慶應",3,4,"立教"
"2000-10-14","東京六大学","慶應",3,8,"明治"
"2000-10-14","東京六大学","早稲田",0,2,"法政"
"2000-10-15","東京六大学","明治",2,2,"慶應"
"2000-10-15","東京六大学","法政",2,4,"早稲田"
"2000-10-16","東京六大学","慶應",2,1,"明治"
"2000-10-16","東京六大学","早稲田",2,1,"法政"
"2000-10-17","東京六大学","明治",2,3,"慶應"
"2000-10-21","東京六大学","法政",5,0,"明治"
"2000-10-21","東京六大学","立教",6,3,"東大"
"2000-10-22","東京六大学","明治",3,4,"法政"
"2000-10-22","東京六大学","東大",0,7,"立教"
"2000-10-28","東京六大学","慶應",3,1,"早稲田"
"2000-10-30","東京六大学","早稲田",1,0,"慶應"
"2000-10-31","東京六大学","慶應",5,0,"東大"
"2000-10-31","東京六大学","慶應",1,2,"法政"
"2000-10-31","東京六大学","慶應",7,5,"法政"
"2000-10-31","東京六大学","慶應",6,0,"立教"
"2000-10-31","東京六大学","慶應",3,4,"立教"
"2000-10-31","東京六大学","慶應",3,8,"明治"
"2000-10-31","東京六大学","慶應",2,1,"明治"
"2000-10-31","東京六大学","慶應",3,1,"早稲田"
