"gamedate","year","season","gametype","team1","r1_before","score1","score2","team2","r2_before","E1","delta"
"2000-04-08",2000,"春","東京六大学","早稲田",1500,3,4,"明治",1500,0.5,-14.463570523948494
"2000-04-08",2000,"春","東京六大学","東大",1500,0,2,"立教",1500,0.5,-17.035933479837244
"2000-04-09",2000,"春","東京六大学","明治",1514.4635705239484,2,5,"早稲田",1485.5364294760516,0.5347990303187018,-20.94543760420625
"2000-04-09",2000,"春","東京六大学","立教",1517.0359334798372,10,0,"東大",1482.9640665201628,0.5409624390453325,22.58603397731518
"2000-04-10",2000,"春","東京六大学","早稲田",1506.4818670802579,2,1,"明治",1493.5181329197421,0.5157551208403662,13.675814481930182
"2000-04-16",2000,"春","東京六大学","東大",1460.3780325428477,0,6,"慶應",1500,0.4524157110467732,-20.715384721523026
"2000-04-16",2000,"春","東京六大学","法政",1500,8,9,"明治",1479.8423184378119,0.5243641859540671,-15.681779821651848
"2000-04-17",2000,"春","東京六大学","慶應",1520.715384721523,1,0,"東大",1439.6626478213248,0.5972564824907325,9.60074639941187
"2000-04-17",2000,"春","東京六大学","明治",1495.5240982594637,7,5,"法政",1484.3182201783482,0.5136707567039471,16.352395644639884
"2000-04-22",2000,"春","東京六大学","慶應",1530.3161311209349,0,1,"立教",1539.6219674571523,0.4886885905196494,-13.898000049930964
"2000-04-22",2000,"春","東京六大学","法政",1467.9658245337082,9,1,"早稲田",1520.1576815621881,0.43662161917881404,27.324122941586133
"2000-04-23",2000,"春","東京六大学","早稲田",1492.833558620602,8,6,"法政",1495.2899474752944,0.4969758768338862,17.187139638142927
"2000-04-23",2000,"春","東京六大学","立教",1553.5199675070833,2,1,"慶應",1516.418131071004,0.5453671156170816,12.195214743094413
"2000-04-24",2000,"春","東京六大学","法政",1478.1028078371514,6,1,"早稲田",1510.020698258745,0.4604721296763842,24.161467242336037
"2000-04-29",2000,"春","東京六大学","東大",1430.0619014219128,2,5,"早稲田",1485.8592310164088,0.4309432517322843,-15.752648674885378
"2000-04-29",2000,"春","東京六大学","立教",1565.7151822501776,5,2,"明治",1511.8764939041037,0.566419654317659,15.884503372388215
"2000-04-30",2000,"春","東京六大学","早稲田",1501.6118796912942,5,2,"東大",1414.3092527470274,0.6078386212075871,13.813555027891805
"2000-04-30",2000,"春","東京六大学","明治",1495.9919905317154,4,4,"立教",1581.5996856225659,0.39455205408693983,5.2723972956530085
"2000-05-01",2000,"春","東京六大学","立教",1576.3272883269128,4,5,"明治",1501.2643878273684,0.593443427226317,-19.135741885264345
"2000-05-02",2000,"春","東京六大学","明治",1520.4001297126329,4,3,"立教",1557.1915464416484,0.4534663137054927,16.79025483867386
"2000-05-06",2000,"春","東京六大学","慶應",1504.2229163279096,3,6,"明治",1537.1903845513068,0.458620666486956,-17.136519412618963
"2000-05-06",2000,"春","東京六大学","法政",1502.2642750794876,12,0,"東大",1400.4956977191355,0.6245850867716691,18.613961569115382
"2000-05-07",2000,"春","東京六大学","明治",1554.3269039639258,2,5,"慶應",1487.0863969152906,0.5843717740796859,-23.424074792255457
"2000-05-07",2000,"春","東京六大学","東大",1381.88173615002,0,12,"法政",1520.878236648603,0.33173230818532823,-16.429831316965252
"2000-05-08",2000,"春","東京六大学","慶應",1510.510471707546,1,2,"明治",1530.9028291716704,0.4740149695684076,-13.164319002368874
"2000-05-13",2000,"春","東京六大学","慶應",1497.346152705177,7,5,"法政",1537.3080679655682,0.4496520994490034,19.553328507387068
"2000-05-13",2000,"春","東京六大学","立教",1540.4012916029744,3,2,"早稲田",1515.4254347191861,0.5317464742328448,12.876246812306253
"2000-05-14",2000,"春","東京六大学","早稲田",1502.5491879068798,6,2,"立教",1553.2775384152808,0.43537693307739384,24.144125857275895
"2000-05-14",2000,"春","東京六大学","法政",1517.7547394581811,7,0,"慶應",1516.899481212564,0.5010885698624437,23.671500061109246
"2000-05-15",2000,"春","東京六大学","慶應",1493.2279811514547,1,4,"法政",1541.4262395192904,0.4385666418626349,-16.13381818140291
"2000-05-15",2000,"春","東京六大学","立教",1529.133412558005,1,3,"早稲田",1526.6933137641556,0.5031452479686168,-17.193195878268085
