"date","team","rating","display_rating"
"2000-04-07","慶應",1500,50
"2000-04-08","慶應",1500,50
"2000-04-09","慶應",1500,50
"2000-04-10","慶應",1500,50
"2000-04-16","慶應",1520.715384721523,55.8
"2000-04-17","慶應",1530.3161311209349,57.2
"2000-04-22","慶應",1516.418131071004,54
"2000-04-23","慶應",1504.2229163279096,50.9
"2000-04-24","慶應",1504.2229163279096,51
"2000-04-29","慶應",1504.2229163279096,50.8
"2000-04-30","慶應",1504.2229163279096,50.7
"2000-05-01","慶應",1504.2229163279096,50.8
"2000-05-02","慶應",1504.2229163279096,50.8
"2000-05-06","慶應",1487.0863969152906,47.9
"2000-05-07","慶應",1510.510471707546,51.6
"2000-05-08","慶應",1497.346152705177,49.6
"2000-05-13","慶應",1516.899481212564,52.5
"2000-05-14","慶應",1493.2279811514547,49
"2000-05-15","慶應",1477.094162970052,46.8
"2000-05-21","慶應",1477.094162970052,47.2
"2000-05-22","慶應",1477.094162970052,46.9
"2000-05-23","慶應",1477.094162970052,47.1
"2000-05-27","慶應",1503.554223862669,50.5
"2000-05-28","慶應",1523.6611668570745,53.1
"2000-09-09","慶應",1523.6611668570745,52.9
"2000-09-10","慶應",1523.6611668570745,52.6
"2000-09-16","慶應",1530.263553010276,53.2
"2000-09-18","慶應",1541.2705900780732,54.3
"2000-09-19","慶應",1541.2705900780732,54.2
"2000-09-23","慶應",1531.1900874095,53.3
"2000-09-24","慶應",1557.7542741446014,56.2
"2000-09-25","慶應",1577.1401574491747,58.5
"2000-09-30","慶應",1577.1401574491747,57.9
"2000-10-01","慶應",1577.1401574491747,58.1
"2000-10-02","慶應",1577.1401574491747,57.9
"2000-10-07","慶應",1595.157045305043,59
"2000-10-08","慶應",1570.7930337948426,56.8
"2000-10-10","慶應",1552.0132443630785,55.1
"2000-10-14","慶應",1528.6822647511199,52.7
"2000-10-15","慶應",1530.6350710156673,53
"2000-10-16","慶應",1546.7998129577963,54.7
"2000-10-17","慶應",1560.8024444637267,56
"2000-10-21","慶應",1560.8024444637267,55.8
"2000-10-22","慶應",1560.8024444637267,55.5
"2000-10-28","慶應",1576.5058414960477,56.8
"2000-10-30","慶應",1558.6135216098544,55.3
"2000-10-31","慶應",1572.0289534886988,56.5
"2001-04-14","慶應",1581.6911627134955,56.9
"2001-04-15","慶應",1584.9804081008524,57.2
"2001-04-16","慶應",1584.9804081008524,57.2
"2001-04-21","慶應",1584.9804081008524,57
"2001-04-22","慶應",1584.9804081008524,56.7
"2001-04-23","慶應",1584.9804081008524,56.7
"2001-04-28","慶應",1559.491386310627,54.7
"2001-04-29","慶應",1543.5602738939835,53.5
"2001-05-01","慶應",1543.5602738939835,53.6
"2001-05-05","慶應",1519.189053888102,51.5
"2001-05-06","慶應",1500.1080887879748,50
"2001-05-12","慶應",1500.1080887879748,50
"2001-05-13","慶應",1500.1080887879748,50
"2001-05-19","慶應",1523.49992284022,51.8
"2001-05-20","慶應",1509.973696631219,50.7
"2001-05-21","慶應",1500.7353437692736,50.1
"2001-05-26","慶應",1500.7353437692736,50.1
"2001-05-28","慶應",1500.7353437692736,50.1
"2001-05-29","慶應",1500.7353437692736,50.1
"2001-06-02","慶應",1478.4451833512276,48.5
"2001-06-03","慶應",1469.0006823876427,47.9
"2001-09-08","慶應",1493.1831202685196,49.5
"2001-09-09","慶應",1512.1875595974643,50.8
"2001-09-15","慶應",1512.1875595974643,50.8
"2001-09-16","慶應",1512.1875595974643,50.8
"2001-09-17","慶應",1512.1875595974643,50.8
"2001-09-22","慶應",1533.8791358868875,52.3
"2001-09-23","慶應",1559.4114352838144,54.1
"2001-09-24","慶應",1559.4114352838144,54
"2001-09-29","慶應",1558.3628133524767,54
"2001-09-30","慶應",1564.7203773714903,54.4
"2001-10-02","慶應",1564.7203773714903,54.3
"2001-10-03","慶應",1564.7203773714903,54.3
"2001-10-06","慶應",1564.7203773714903,54.3
"2001-10-07","慶應",1564.7203773714903,54.9
"2001-10-08","慶應",1564.7203773714903,54.9
"2001-10-09","慶應",1564.7203773714903,54.8
"2001-10-13","慶應",1584.0717261496038,56.1
"2001-10-14","慶應",1600.0270835867307,57
"2001-10-20","慶應",1600.0270835867307,57.3
"2001-10-21","慶應",1600.0270835867307,57.1
"2001-10-22","慶應",1600.0270835867307,57
"2001-10-27","慶應",1610.0663830573767,57.6
"2001-10-29","慶應",1581.238810835275,55.7
"2001-10-30","慶應",1558.3537279637314,54.1
"2002-04-13","慶應",1566.036494600885,54.5
"2002-04-14","慶應",1572.0485597349154,54.7
"2002-04-20","慶應",1572.0485597349154,54.8
"2002-04-22","慶應",1572.0485597349154,54.7
"2002-04-23","慶應",1572.0485597349154,54.6
"2002-04-27","慶應",1556.4778059344585,53.6
"2002-04-28","慶應",1534.2211623163912,52.2
"2002-04-29","慶應",1534.2211623163912,52.2
"2002-04-30","慶應",1534.2211623163912,52.2
"2002-05-04","慶應",1528.4739762993418,51.8
"2002-05-05","慶應",1547.1081762828576,52.9
"2002-05-06","慶應",1525.2913015106762,51.6
"2002-05-08","慶應",1503.491707287342,50.2
"2002-05-11","慶應",1503.491707287342,50.2
