"gamedate","gametype","team1","score1","score2","team2"
"2002-09-07","東都1部","亜細亜大学",1,2,"青山学院大学"
"2002-09-07","東都1部","東洋大学",6,2,"専修大学"
"2002-09-08","東都1部","専修大学",7,0,"東洋大学"
"2002-09-08","東都1部","青山学院大学",5,4,"亜細亜大学"
"2002-09-08","東都3部","大正大学",2,0,"上智大学"
"2002-09-08","東都4部","一橋大学",11,1,"東京科学大学"
"2002-09-09","東都1部","東洋大学",5,0,"専修大学"
"2002-09-09","東都4部","東京科学大学",14,3,"一橋大学"
"2002-09-10","東都2部","國學院大學",0,0,"立正大学"
"2002-09-10","東都2部","駒澤大学",6,2,"拓殖大学"
"2002-09-10","東都3部","上智大学",0,13,"大正大学"
"2002-09-10","東都3部","芝浦工業大学",0,1,"成蹊大学"
"2002-09-11","東都2部","國學院大學",1,4,"立正大学"
"2002-09-11","東都2部","拓殖大学",3,10,"駒澤大学"
"2002-09-11","東都4部","一橋大学",1,2,"東京科学大学"
"2002-09-12","東都2部","立正大学",5,7,"國學院大學"
"2002-09-12","東都3部","成蹊大学",6,5,"芝浦工業大学"
"2002-09-13","東都2部","國學院大學",2,3,"立正大学"
"2002-09-13","東都3部","学習院大学",6,2,"成蹊大学"
"2002-09-14","東都3部","順天堂大学",3,1,"上智大学"
"2002-09-14","東都4部","東京都市大学",8,3,"東京科学大学"
"2002-09-15","東都3部","上智大学",0,4,"順天堂大学"
"2002-09-15","東都4部","東京科学大学",7,0,"東京都市大学"
"2002-09-16","東都2部","国士舘大学",13,1,"拓殖大学"
"2002-09-16","東都3部","成蹊大学",5,3,"学習院大学"
"2002-09-18","東都1部","中央大学",2,2,"青山学院大学"
"2002-09-18","東都1部","日本大学",3,3,"専修大学"
"2002-09-18","東都2部","拓殖大学",9,5,"国士舘大学"
"2002-09-18","東都2部","東京農業大学",1,6,"立正大学"
"2002-09-18","東都3部","学習院大学",3,4,"成蹊大学"
"2002-09-19","東都1部","中央大学",6,1,"青山学院大学"
"2002-09-19","東都1部","日本大学",3,1,"専修大学"
"2002-09-19","東都2部","国士舘大学",0,2,"拓殖大学"
"2002-09-19","東都2部","立正大学",0,3,"東京農業大学"
"2002-09-20","東都1部","専修大学",3,1,"日本大学"
"2002-09-20","東都1部","青山学院大学",1,1,"中央大学"
"2002-09-20","東都2部","東京農業大学",9,1,"立正大学"
"2002-09-21","東都3部","順天堂大学",1,0,"芝浦工業大学"
"2002-09-21","東都4部","一橋大学",5,2,"東京都市大学"
"2002-09-22","東都3部","大正大学",7,1,"学習院大学"
"2002-09-22","東都3部","芝浦工業大学",1,10,"順天堂大学"
"2002-09-22","東都4部","東京都市大学",2,1,"一橋大学"
"2002-09-23","東都3部","学習院大学",2,5,"大正大学"
"2002-09-24","東都1部","中央大学",4,3,"東洋大学"
"2002-09-24","東都1部","亜細亜大学",4,2,"日本大学"
"2002-09-24","東都2部","国士舘大学",2,5,"國學院大學"
